"Item","Your_Score","School_Score","Difference","Cohens_d","Hedges_g","Domain"
"Know how to behave",5.69,5.12,0.57,0.633333333333334,0.612454212454213,"Classroom Environment"
"Cares about wellbeing",5.69,5.1,0.590000000000001,0.655555555555556,0.633943833943835,"Relationships"
"Supports if confused",5.66,5.07,0.59,0.655555555555555,0.633943833943834,"Relationships"
"Know how well doing",4.76,4.49,0.27,0.3,0.29010989010989,"Instruction"
"Connects to my life",4.79,4.47,0.32,0.355555555555556,0.343833943833944,"Relationships"
"Work with others",4.79,4.33,0.46,0.511111111111111,0.494261294261294,"Classroom Environment"
"Makes changes from feedback",5.59,4.94,0.649999999999999,0.722222222222222,0.698412698412698,"Instruction"
"Helps me focus",5.69,5.02,0.670000000000001,0.744444444444445,0.719902319902321,"Classroom Environment"
"Connects to prior learning",5.45,4.87,0.58,0.644444444444444,0.623199023199023,"Instruction"
"Respects me",5.55,5.23,0.319999999999999,0.355555555555555,0.343833943833943,"Relationships"
