day,mean_followers,p10,p50,p90
1,10.550297639199924,3.385047208165816,6.14880213243343,25.17517699477182
2,22.713731708179214,8.660450028774697,16.34480884578226,44.96122182192248
3,36.762404557880785,15.625548153050687,30.236508294195104,66.9578537219574
4,53.0323638554092,24.383228065402747,46.13031755817491,91.43901628769551
5,71.85965234452947,35.176762581109976,63.83499748801088,119.2721431043619
6,87.0200474895082,44.682596300828735,78.58418542910907,140.67358886019213
7,103.7117559150549,55.3450303961896,94.52606049516413,164.3692603102746
8,130.27294183741904,71.47124457907918,119.90252063145354,201.61855895838528
9,160.8221769800655,90.54703625273669,148.8045333724074,246.6694715415348
10,196.23489273150645,112.44065171414728,182.37740459569648,298.8447036813813
11,236.93579353661417,137.99076874579734,220.81607708325075,356.7860741330413
12,283.92264483528896,166.5748627853462,264.80557669349696,425.80828402630675
13,321.76389720107693,191.06552307318685,300.24915468317124,478.98132702930116
14,363.72057355957855,217.78563191000362,339.7057128253522,540.7681139889792
15,429.9056968437258,257.46918043573436,401.73849083042165,636.3580034294325
16,506.5025457660964,304.10815164508875,473.09388115855535,747.233208418241
17,595.0743103557613,357.9656175758765,556.9030199937813,879.2003024632406
18,696.902523606426,419.355940622948,650.1430719033749,1028.3882151112673
19,813.3492239221887,488.52846041271437,759.0220535785982,1201.0614100215746
20,908.2777692620192,545.9086605201456,845.9938850443064,1343.218906399867
21,1013.0942787029268,607.752631616569,943.6731476287284,1498.5130399062818
22,1178.8011081878074,703.7836543758777,1097.3662575765256,1748.1108678273006
23,1369.1431556149041,817.7234160197455,1271.8625163290096,2029.0856597158863
24,1589.5004721541363,942.0832775157521,1477.0808255282673,2365.1878651935886
25,1844.9290199272918,1086.2079818085658,1710.4845189696873,2767.705709344851
26,2138.393543034777,1254.7633861780444,1982.9502161721828,3211.307368106979
27,2374.5955015887344,1392.2519319764053,2198.544128803932,3575.5378755847046
28,2636.770865528355,1545.8735241355098,2445.1004795468343,3984.8623412272523
29,3051.2304941520924,1774.134872305031,2821.082032728511,4616.242391402433
30,3530.4505058898217,2039.593443878662,3258.050034410321,5376.887018998386
31,4083.053468348942,2351.891265512102,3761.9943005368177,6214.171434818308
32,4719.087493931464,2710.363286327766,4335.047559591536,7243.839570686602
33,5450.884436951606,3107.665565345374,5000.810602825335,8371.762297780431
34,6045.1736171298,3423.0372359398625,5544.927120104079,9295.480504253343
35,6696.949417651034,3796.6314986897846,6148.592245257732,10318.747132262142
36,7728.333224640666,4365.195821173301,7069.486319966846,11929.090598625693
37,8924.181110508429,4998.865323896192,8149.355970817109,13843.403041240921
38,10315.870834660127,5722.632559055108,9424.979676246601,16084.97068228068
39,11907.999950693713,6565.8357385246845,10877.080066535813,18601.193831834553
40,13737.438408402917,7523.009106921302,12525.334680660253,21512.513562322525
41,15211.528853448299,8290.23006296395,13868.835629728765,23833.88657284949
42,16849.52461208094,9160.604937628803,15367.621540767468,26496.298628457647
43,19434.177435178106,10523.995769881498,17721.91871323699,30717.99172593549
44,22406.817762465398,12034.765280154543,20418.63911349949,35463.86885510952
45,25822.794303160663,13789.212912522567,23478.59809593887,40958.46801022439
46,29796.903935363876,15835.743671688628,27010.36063681617,47438.09522129794
47,34400.27113095771,18174.793575320666,31193.69093329629,54811.48405790183
